title,label,cleaned_text 
"Iran, Finland sign 4 MoUs in Tehran",0,iran finland sign mous tehran
White House Defends FBI Director Comey’s Integrity,1,white house defend fbi director comey integrity
TRUMP CALLED IT MONTHS AGO: Anthony Weiner threatens national security,1,trump call months ago anthony weiner threaten national security
US military commander: Russian military ‘far more capable’ than Soviet Union’s,1,military commander russian military far capable soviet union
Don't underestimate Bernie Sanders,1,underestimate bernie sanders
The Latest On Paris Attack: Manhunt Continues; Brothers Were On No-Fly List,1,latest paris attack manhunt continue brothers fly list
Clinton calls for 'common-sense' gun control after Charleston terrorist attack,1,clinton call common sense gun control charleston terrorist attack
Comment on WikiLeaks Shocker: Clinton Camp Considering Paul Ryan Relative as Supreme Court Nominee by Richard Johnson,0,comment wikileaks shocker clinton camp consider paul ryan relative supreme court nominee richard johnson
Ireland's historic vote for marriage equality prompts amazing Twitter celebration,1,ireland historic vote marriage equality prompt amaze twitter celebration
Hilarious Cartoon Reveals 2016 Political Version of The “Walking Dead”,0,hilarious cartoon reveal 2016 political version walk dead
James O’Keefe releases another Project Veritas video claiming Hillary Clinton campaign is “bird dogging”,1,jam keefe release another project veritas video claim hillary clinton campaign bird dog
Unrelenting Ferguson protests pushed year of national change,1,unrelenting ferguson protest push year national change
Crushing Hillary: Trump’s Landslide by the Numbers | EndingFed News Network,0,crush hillary trump landslide number endingfed news network
Bill Clinton suggests Trump slogan racist – but he used the same one,1,bill clinton suggest trump slogan racist use one
Google Violence at Temple U Popular Across the Country,0,google violence temple popular across country
"Strong 5.4 Magnitude Quake Hits Central Italy, Rattles Rome",0,strong magnitude quake hit central italy rattle rome
Robin Roberts Says While She Was Dying from Cancer a ‘Familiar Voice’ Came From Her Nurse and Brought Her Back,0,robin roberts say die cancer familiar voice come nurse bring back
Brain Concussions in Children and Adults: What to Know About Vaccine Damage,0,brain concussions children adults know vaccine damage
Pakistan: Long arm of ISI needs unsheathing,0,pakistan long arm isi need unsheathe
Court rejects Obama immigration plan. Executive abuse of power?,1,court reject obama immigration plan executive abuse power
"Why Everyone on Facebook Is Checking into Standing Rock, North Dakota",0,everyone facebook check stand rock north dakota
"Hillary cancels public appearance due to a large crowd of people chanting ""Lock Her Up!""",0,hillary cancel public appearance due large crowd people chant lock
The big question about Hillary Clinton: What if the FBI is onto her?,1,big question hillary clinton fbi onto
John Boehner thanks God Cruz didn't win,1,john boehner thank god cruz win
Why Trump's foreign policy resonates with Americans – to a point,1,trump foreign policy resonate americans point
"An LDS Reader Takes A Look At Trump Accuser Jessica Drake, Concludes His Leaders Are “Latter-Day Sissies",0,lds reader take look trump accuser jessica drake conclude leaders latter day sissies
Comment on Wikileaks: Bill Clinton BOASTS of Hillary’s ‘Working Relationship’ with Muslim Brotherhood by toddyo1935,0,comment wikileaks bill clinton boast hillary work relationship muslim brotherhood toddyo1935
Your premier federal government employee and veteran shopping program,0,premier federal government employee veteran shop program
Memo To Trump And Clinton: Use Tough Love To Win The Millennials,1,memo trump clinton use tough love win millennials
Incredible Discovery: This Fruit Extract Killed Cancer in 48 Hours!,0,incredible discovery fruit extract kill cancer hours
How well-meaning political reformers are helping to elect President Trump,1,well mean political reformers help elect president trump
Hillary Clinton shatters $100M fundraising goal,1,hillary clinton shatter 100m fundraise goal
The detente between Trump and Cruz is definitely over,1,detente trump cruz definitely
Inside the Trump-Bush melodrama: Decades of tension and discomfort,1,inside trump bush melodrama decades tension discomfort
Rand Paul Supporters Walk Out Of Jeb Bush Speech,1,rand paul supporters walk jeb bush speech
Ryan on meeting with Trump: 'It’s important we don’t fake unifying',1,ryan meet trump important fake unify
Republicans' fear: 2 more years of gridlock,1,republicans fear years gridlock
Romania Points Out Flaws With U.S. Election To Encourage Citizens To Vote,0,romania point flaw election encourage citizens vote
The Worst Case for Republicans: Trump Wins,1,worst case republicans trump win
Sniveling Cowards and NeverTrumpers Mitt Romney and John Kasich Reach out to Trump – TruthFeed,0,snivel cowards nevertrumpers mitt romney john kasich reach trump truthfeed
How America is quietly becoming a climate change leader,1,america quietly become climate change leader
In Consideration of the Supreme Importance of Love,0,consideration supreme importance love
Immigration Standoff May End With Another Congressional Punt,1,immigration standoff may end another congressional punt
LIVE: Hillary Clinton Addresses Nation for First Time Following Presidential Race,0,live hillary clinton address nation first time follow presidential race
Donald Trump is failing at basically everything right now. This poll proves it.,1,donald trump fail basically everything right poll prove
"Trump Tells GOP Rally In Jerusalem He’ll ‘Make Israel, U.S. Safe Again’",0,trump tell gop rally jerusalem make israel safe
"Pro-Trump, anti-Trump groups clash in San Diego",1,pro trump anti trump group clash san diego
Former U.S. Treasury Secretary Just Warned Trump Could Be Assassinated,0,former treasury secretary warn trump could assassinate
New French Law Makes It Illegal To Contact Employees After Work Hours,0,new french law make illegal contact employees work hours
"Liberal pundits blame Debbie Wasserman Schultz, not Bernie Sanders, for Democrats’ division",1,liberal pundits blame debbie wasserman schultz bernie sanders democrats division
"“Wikileaks is the Mossad, Stupid, Not the Russians, We are playing them like a fiddle…” Assange (sort of)",0,wikileaks mossad stupid russians play like fiddle assange sort
BREAKING: Obama Now Considering Martial Law Because Of Mass Riots | EndingFed News Network,0,break obama consider martial law mass riot endingfed news network
Sanders draws early support for White House bid from long-time union allies,1,sanders draw early support white house bid long time union ally
Why Trump’s warning of ‘rigged election’ isn’t credible,1,trump warn rig election credible
"Insider Leaks Bill’s 2-Word Nickname For Hillary, Exposes Dirty Sex Habits",0,insider leak bill word nickname hillary expose dirty sex habit
TRUMPED! LIBERAL NEWS OUTLET BLOOMBERG POLL CONCEDES TRUMP BEATING CROOKED HILLARY IN FLORIDA,0,trump liberal news outlet bloomberg poll concede trump beat crook hillary florida
Trump and all the other far right leaders are Zionist stooges,0,trump far right leaders zionist stooge
CONTROVERSIAL NEW ‘ANTI-FAMINE’ GMO POTATO STRAINS APPROVED,0,controversial new anti famine gmo potato strain approve
TRIGGERED: JOURNALIST SNOWFLAKES SCARED TRUMP SUPPORTERS ARE ‘TURNING ON THE MEDIA’,0,trigger journalist snowflakes scar trump supporters turn media
"The Clinton Syndrome, Part 2: Can Hillary Escape This Time?",0,clinton syndrome part hillary escape time
"Re: Ha! FBI reopening Hillary email case means THIS might happen again soon (Hint: Bill, fire up the jet!)",0,fbi reopen hillary email case mean might happen soon hint bill fire jet
"FBI Wants you to Believe It Examined 650,000 Emails in 691,000 Seconds",0,fbi want believe examine 650 000 email 691 000 second
Jihadi John: The bourgeois terrorist,1,jihadi john bourgeois terrorist
Don’t underestimate the power of Trump’s rage-fueled rise,1,underestimate power trump rage fuel rise
DNC Chair won't run for Senate in 2016,1,dnc chair win run senate 2016
Comment on She’s fit to be President! Hillary had to be helped up *one* step by youknowwho.,0,comment fit president hillary help one step youknowwho
"Remember Those Rumors Megyn Kelly is Leaving Fox News? Well, Her Contract Just Went Public",0,remember rumor megyn kelly leave fox news well contract public
Donald Trump wasn’t so anti-Iraq war after all. Quelle surprise.,1,donald trump anti iraq war quelle surprise
The Daily 202: Why Trump sounded more like a strongman than a movement conservative,1,daily 202 trump sound like strongman movement conservative
Delegates face death threats from Trump supporters,1,delegate face death threats trump supporters
Hillary Clinton poised to reveal VP pick,1,hillary clinton poise reveal pick
Police Turn In Badges Rather Than Incite Violence Against Standing Rock Protesters: Report,0,police turn badge rather incite violence stand rock protesters report
Comment on 21 Things We’ve Learned About Hillary Clinton from Wikileaks That the MSM Won’t Share…But YOU Can! by Lakshmima,0,comment things learn hillary clinton wikileaks msm win share lakshmima
"As His Campaign Crumbles, Trump Is Spending His Day Fighting With MSNBC's Joe Scarborough",1,campaign crumble trump spend day fight msnbc joe scarborough
Poland Establishing New Territorial Defense Force to Fight ‘Russian Threat’,0,poland establish new territorial defense force fight russian threat
How Hillary Clinton could win,1,hillary clinton could win
Teachers Strike Allowing Children To Sample The Kind Of Free Time They’ll Have On The Dole,0,teachers strike allow children sample kind free time dole
Life: 10 Steps To Rolling The Perfect Joint,0,life step roll perfect joint
"Turkey, Russia Headed for a Military Face-Off?",1,turkey russia head military face
Democrats weigh how to nudge Sanders out,1,democrats weigh nudge sanders
Cardinal Vincent Nichols says: “Britons could learn a lot from the ‘vibrant’ faith of Muslim migrants”,0,cardinal vincent nichols say britons could learn lot vibrant faith muslim migrants
Did Democrats really stuff ballot? Here's their answer,0,democrats really stuff ballot answer
Trump's VP search enters frenzied phase,1,trump search enter frenzied phase
Taking Care of Your Eye Health the Natural Way,0,take care eye health natural way
Clinton Says She Was Wrong to Call Half of Trump Supporters ‘Deplorables’,1,clinton say wrong call half trump supporters deplorables
Fighting Ghost Fascists While Aiding Real Ones,0,fight ghost fascists aid real ones
"In campaign chaos, Donald Trump shows his management style",1,campaign chaos donald trump show management style
A harsh blow to small businesses: Opposing view,1,harsh blow small businesses oppose view
Sarah Palin endorses Donald Trump's presidential bid,1,sarah palin endorse donald trump presidential bid
‘He’s Cuban. I’m Mexican.’: Can Rubio and Cruz connect with Latino voters?,1,cuban mexican rubio cruz connect latino voters
Cruz Crushes Trump in Wyoming Republican Caucus,1,cruz crush trump wyoming republican caucus
World War 3 Begins! Trump Elected,0,world war begin trump elect
Hillary Clintons election fraud finally exposed. California stolen from Bernie Sanders!,0,hillary clintons election fraud finally expose california steal bernie sanders
"William Weld: Never Mind Libertarianism, He's Running as Himself",1,william weld never mind libertarianism run
"Clinton makes history, declares win in Democratic race",1,clinton make history declare win democratic race
Cruz confronts pro-Trump protesters in Indiana: ‘He’s taking advantage of you’,1,cruz confront pro trump protesters indiana take advantage
BREAKING: Donald Trump Says He’s Going to Deport Up To 3 Million Immigrants Immediately,0,break donald trump say deport million immigrants immediately
"In hats and t-shirts, Trump fans rally in Jerusalem’s Old City",0,hat shirt trump fan rally jerusalem old city
Anxiety grows among GOP congressional staffers,0,anxiety grow among gop congressional staffers
Pentagon Retreats on Enlistment Bonus Collection Efforts,0,pentagon retreat enlistment bonus collection efforts
U.S. officials optimistic they will close giant trade deal,1,officials optimistic close giant trade deal
Hillary Clinton Attacks Donald Trump for Threatening to Sue Accusers,1,hillary clinton attack donald trump threaten sue accusers
"Cleveland police are out of control, say the feds. Now they're making a deal to change.",1,cleveland police control say feds make deal change
"Donald Trump stands by Jeb Bush, George W. Bush 9/11 comments",1,donald trump stand jeb bush george bush comment
Lower Yields and Agropoisons: What is the Point of GM Mustard in India?,0,lower yield agropoisons point mustard india
"Obama passes baton to Clinton, stirs up '3rd term' charges",1,obama pass baton clinton stir 3rd term charge
Housing In 2015: Four Reasons For Optimism (And One For Worry),1,house 2015 four reason optimism one worry
The Intercept Outs Neocon Democrat’s Smear Against Trump as ‘Putin’s Puppet’,0,intercept neocon democrat smear trump putin puppet
Hillary’s Aide Vanishes After WikiLeak Corruption Scandal Huma Life in Danger,0,hillary aide vanish wikileak corruption scandal huma life danger
Aristocracy’s Immunity From Prosecution Disturbs TARP’s I.G.,0,aristocracy immunity prosecution disturb tarp
Hillary Ally Offers Strategy On How To Make New York Times Write Positive Coverage,0,hillary ally offer strategy make new york time write positive coverage
"White House, NYT leave Bushes out of lead photos from Selma march",1,white house nyt leave bush lead photos selma march
Emotional Service Held At Charleston Church Days After Shootings,1,emotional service hold charleston church days shoot
Why Time Magazine’s Joe Klein Is So Wrong About Hillary Clinton,0,time magazine joe klein wrong hillary clinton
5 amazing ways Pope Francis made Republicans squirm yesterday,1,amaze ways pope francis make republicans squirm yesterday
Charlie Hebdo: The French magazine's long history of polarization (+video),1,charlie hebdo french magazine long history polarization video
Martin O’Malley is running for president — and on Elizabeth Warren's platform,1,martin malley run president elizabeth warren platform
What Hillary Clinton Needs to Tell Voters Who Don’t Want to Have a Beer With Her,1,hillary clinton need tell voters want beer
Rush Limbaugh is cooked: The stunning fall of the right’s angriest bloviator,1,rush limbaugh cook stun fall right angriest bloviator
America’s looming freak show: How GOP control in 2015 will terrorize a nation – with no political repercussion,1,america loom freak show gop control 2015 terrorize nation political repercussion
Swansea City ‘will win Premier League at a canter’ confirm pollsters,0,swansea city win premier league canter confirm pollsters
What is going on with WikiLeaks?,0,wikileaks
Re: Did America Really Pass The Test? – Hillary Clinton Is Going To Win The Popular Vote By A Wide Margin,0,america really pass test hillary clinton win popular vote wide margin
Neeraj Pandey announces film on 500/1000 ban: “A Wednesday Re-MODIfied”,0,neeraj pandey announce film 500 1000 ban wednesday modify
Russia plays down idea of coalition with West to strike ISIS in Syria,1,russia play idea coalition west strike isis syria
Trump cuts off fundraising events for Republican Party,1,trump cut fundraise events republican party
Afghan intelligence officials confirm death of Taliban leader Mullah Omar,1,afghan intelligence officials confirm death taliban leader mullah omar
Standing Rock Protests: Police Turn In Badges Rather Than Incite Violence,0,stand rock protest police turn badge rather incite violence
SPECTRE Is Real: Federal Shadow Government,0,spectre real federal shadow government
Supreme Court throws out conviction for violent Facebook postings,1,supreme court throw conviction violent facebook post
Obama oval office speech aims to reassure nation over terror threats,1,obama oval office speech aim reassure nation terror threats
How Planned Parenthood hoax avoids the truth,1,plan parenthood hoax avoid truth
Comment on Clintons Addicted to Privilege: Financial Whistleblower Explains What’s About to Happen to the Economy by marlene,0,comment clintons addict privilege financial whistleblower explain happen economy marlene
"Go Ahead, Sue the Government",0,ahead sue government
Principal institutes ban after students wear Confederate flag to school,0,principal institute ban students wear confederate flag school
Strong organization helps Cruz dominate Colorado delegate hunt,1,strong organization help cruz dominate colorado delegate hunt
Mourning in America—A “Patriot Spring” In Europe?,0,mourn america patriot spring europe
BREAKING: AP Finds Proof Melania Trump Illegally Worked In U.S. PRIOR To Getting Work Visa,0,break find proof melania trump illegally work prior get work visa
Donald Trump rages against the machine,1,donald trump rag machine
JUDICIAL WATCH: MORE CLINTON-ABEDIN EMAIL EXCHANGES OF CLASSIFIED INFORMATION ON UNSECURE SERVER,0,judicial watch clinton abedin email exchange classify information unsecure server
America’s Senator Jeff Sessions Warns of Worsening Pre-Election Border Anarchy,0,america senator jeff sessions warn worsen pre election border anarchy
The illuminati card ‘Enough Is Enough’ a harbinger of things to come?,0,illuminati card enough enough harbinger things come
Delta State shooting: Shannon Lamb kills himself,1,delta state shoot shannon lamb kill
Sean Hannity Loses His Cool on Air and Goes Completely Nuclear on 'Never Trump' Movement,0,sean hannity lose cool air completely nuclear never trump movement
How Secure is Your Cellphone ??,0,secure cellphone
Reid Won't Seek Re-Election,1,reid win seek election
8 Terrifying Plants You Didn’t Know About,0,terrify plant know
Why Hillary Won't Unleash World War III - Pepe Escobar,0,hillary win unleash world war iii pepe escobar
"After Terrorizing America With Zika Scaremongering, MSM Admits Zika Doesn't Cause Brain Deformities",0,terrorize america zika scaremongering msm admit zika cause brain deformities
4 Things To Watch At The First Presidential Debate,1,things watch first presidential debate
"Ancient Sumerian Writings Reveal The Earth Was Ruled By Eight Immortal Kings For 241,200 Years",0,ancient sumerian write reveal earth rule eight immortal kings 241 200 years
Losing Trump Tries to Fool Voters with Last Ditch Media Propaganda Scam,0,lose trump try fool voters last ditch media propaganda scam
"New snowstorm, new target: South under siege",1,new snowstorm new target south siege
"FBI FOUND ""TENS OF THOUSANDS OF EMAILS"" BELONGING TO HUMA ABEDIN ON WEINER'S LAPTOP",0,fbi find tens thousands email belong huma abedin weiner laptop
Donald Trump: 'I will be a great unifier',1,donald trump great unifier
Get Ready For Civil Unrest: Survey Finds That Most Americans Are Concerned About Election Violence,0,get ready civil unrest survey find americans concern election violence
Everyone getting hammered tonight for bad reasons,0,everyone get hammer tonight bad reason
Colin Powell (Pronounced “Colon Pao”) Endorses Hillary Clinton,0,colin powell pronounce colon pao endorse hillary clinton
SECRET RECORDINGS FUELED FBI FEUD IN CLINTON PROBE,0,secret record fuel fbi feud clinton probe
A perfect mashup of “Stranger Things” and “A Charlie Brown Christmas”,0,perfect mashup stranger things charlie brown christmas
GOP to Trump: You crossed the line,1,gop trump cross line
World's Oldest Person Had Smoked For 76 Years,0,world oldest person smoke years
"World War 3, Information War, and the End of Pax Americana: Exclusive Interview with Eduard Popov",0,world war information war end pax americana exclusive interview eduard popov
This election is an unpopularity contest for the ages,1,election unpopularity contest age
"As gas prices drops, states under increased pressure to hike taxes to replenish transportation funds",1,gas price drop state increase pressure hike tax replenish transportation fund
"Christie, Fiorina suspend 2016 campaigns",1,christie fiorina suspend 2016 campaign
"For The Small Price Of $2.3 Million, You Could Own This Beautiful, Self-Sufficient Island",0,small price million could beautiful self sufficient island
Economic Racial Disparity in North Carolina,0,economic racial disparity north carolina
The Matrix of Four of The Medicine Wheel,0,matrix four medicine wheel
SHAMEFUL: Weather Channel Using Children In New Video To Promote Climate Change Hoax,0,shameful weather channel use children new video promote climate change hoax
Old rivals Obama and McCain tussle over Iran,1,old rival obama mccain tussle iran
Congress in slow lane on auto safety,1,congress slow lane auto safety
Paris Migrant Campers Increase after Calais Is Shut,0,paris migrant campers increase calais shut
New Moon In Scorpio: Making A Calculated Effort,0,new moon scorpio make calculate effort
SHOCKER!!! Left Wing MSNBC commentator Chris Mathews has just endorsed Donald Trump for president,0,shocker leave wing msnbc commentator chris mathews endorse donald trump president
"Pressure Is On Trump, Sanders In Crucial Contests Tuesday",1,pressure trump sanders crucial contest tuesday
Comment on “Isolated Incident” Every Police Dept in America Failed to Meet Minimum Standard for Use of Force by Isaid Dilligaf,0,comment isolate incident every police dept america fail meet minimum standard use force isaid dilligaf
"Report: Russian, U.S. Jets Have Close Encounter Over Syria",0,report russian jet close encounter syria
You Will Soon Be Obsolete: “Plan Your Future Before THEY Plan It For You”,0,soon obsolete plan future plan
After 3 Years of Suffering 19 Year Old Girl Dies from Gardasil Vaccine Injuries,0,years suffer year old girl die gardasil vaccine injuries
Britain looking forward to bonfire night because it can’t afford to put the heating on,0,britain look forward bonfire night afford put heat
‘That’s the CRAP young people pay attention to.’ Team Hillary trashes millennials #PodestaEmails21,0,crap young people pay attention team hillary trash millennials podestaemails21
Does Bernie Sanders really want to win? Three Democratic debate takeaways,1,bernie sanders really want win three democratic debate takeaways
Rubio nabs key former Romney aide,1,rubio nab key former romney aide
ISIS claim responsibility for shooting at Texas Muhammad cartoon contest,1,isis claim responsibility shoot texas muhammad cartoon contest
Comment on AG Lynch told FBI Director Comey NOT to go public with the new Clinton email investigation by Ann Tenna,0,comment lynch tell fbi director comey public new clinton email investigation ann tenna
"George Soros begins his color revolution in America, as MoveOn “activists” march against Trump",0,george soros begin color revolution america moveon activists march trump
#BlackLivesMatter: Why movement is its own worst enemy,1,blacklivesmatter movement worst enemy
Comments of the Week: Here Comes Trouble,0,comment week come trouble
The Amish In America Commit Their Vote To Donald Trump; Mathematically Guaranteeing Him A Presidential Victory - ABC News,0,amish america commit vote donald trump mathematically guarantee presidential victory abc news
Clinton is banking on the Obama coalition to win,1,clinton bank obama coalition win
Is Brexit never gonna happen? 'Leaked' audio recording reveals Theresa May's 'true' fears about Brexit,0,brexit never gon happen leak audio record reveal theresa may true fear brexit
"Mike Brown anniversary: Arrests, state of emergency",1,mike brown anniversary arrest state emergency
WHO Cancer Agency Under Fire for withholding ‘carcinogenic glyphosate’ Documents,0,cancer agency fire withhold carcinogenic glyphosate document
Anti-War Movement Anticipates More War Under A Clinton Presidency,0,anti war movement anticipate war clinton presidency
"Obama Touts 2015 Successes, Sets 2016 Goals",1,obama tout 2015 successes set 2016 goals
Al Gore Made Nearly $200 Million from the Global Warming Scam — Likely to Become the World's First 'Carbon Billionaire',0,gore make nearly 200 million global warm scam likely become world first carbon billionaire
Prisoner in van heard “banging against walls.”,1,prisoner van hear bang wall
Hillary Clinton Has Brain Damage Confirmed by Abedin and Podesta,0,hillary clinton brain damage confirm abedin podesta
Carly Fiorina announces presidential bid,1,carly fiorina announce presidential bid
Parents Of American Woman Held By ISIS Say They Have Been Notified Of Her Death,1,parent american woman hold isis say notify death
5 Key Revelations for Free Thinkers to Consider After Election 2016,0,key revelations free thinkers consider election 2016
Obama's long-view foreign policy: why he thinks the US can bend the arc of history,1,obama long view foreign policy think bend arc history
"Doesn’t Matter WHO Hacked Podesta, If Emails are TRUE",0,matter hack podesta email true
Religion & Politics: A Bad Mix,0,religion politics bad mix
Jill's dilemma,1,jill dilemma
"Hillary Clinton’s Elections 2016 concession speech from New York (FULL, streamed live)",0,hillary clinton elections 2016 concession speech new york full stream live
Koala gets so excited it runs head-first into a tree,0,koala get excite run head first tree
"According to this college prof, canoes are symbol of cultural appropriation",0,accord college prof canoe symbol cultural appropriation
Facebook says users can't stop it from using biometric data,0,facebook say users stop use biometric data
Why California's drought hasn't sent food prices soaring,1,california drought send food price soar
Super Tuesday Brings Harsh Light And Heartaches On The Morning After,1,super tuesday bring harsh light heartaches morning
Where do strained U.S.-Israeli relations go after Netanyahu’s victory?,1,strain israeli relations netanyahu victory
How Donald Trump blindsided the GOP: Inside the uprising the establishment never imagined — and didn’t see coming,1,donald trump blindside gop inside uprise establishment never imagine see come
Is This Why Comey Broke: A Stack Of Resignation Letters From Furious FBI Agents,0,comey break stack resignation letter furious fbi agents
The Source of our Rage: The Ruling Elite Is Protected from the Consequences of its Dominance,0,source rage rule elite protect consequences dominance
Inside Marco’s Hollow Campaign,1,inside marco hollow campaign
Obamacare Enrollees Anxiously Await Supreme Court Decision That Threatens Their Coverage,1,obamacare enrollees anxiously await supreme court decision threaten coverage
Guy On Pills Has 5 Hour Chat With Hand After Girl Told Him “Talk To The Hand” – Wundergroundmusic.com,0,guy pills hour chat hand girl tell talk hand wundergroundmusic com
"Trump and Sanders win: We are witnessing a full scale revolt, America",1,trump sanders win witness full scale revolt america
BREAKING! — Hillary Clinton looks like a goner!,0,break hillary clinton look like goner
WORLD WAR 3 Hillary Clinton Foundation Holocaust ISIS Saudi Weapons of Mass Destruction YEMEN,0,world war hillary clinton foundation holocaust isis saudi weapons mass destruction yemen
Russia stops shipping Soyuz space rockets to France,0,russia stop ship soyuz space rocket france
Does Kerry want an Iran deal too much?,1,kerry want iran deal much
French-Japanese Flawed Steel InReactors Dooms The Nuclear Industry,0,french japanese flaw steel inreactors doom nuclear industry
Russia May Deny LGBT Driver's Licenses,1,russia may deny lgbt driver license
"Cruz, Trump and Rubio win in Iowa. And now we know who the losers are, too...",1,cruz trump rubio win iowa know losers
Black faith is under attack: How to make sense of white supremacy’s Charleston crimes,1,black faith attack make sense white supremacy charleston crimes
[WATCH] Hillary Appears Belligerently Drunk in Troubling New Video,0,watch hillary appear belligerently drink trouble new video
Bashar al-Assad is losing ground in Syria,1,bashar assad lose grind syria
Putins Army is coming for World war 3 against Obama year 2016!!! New Video!!! Kopya,0,putins army come world war obama year 2016 new video kopya
The Passion Behind Standing Rock Protest,0,passion behind stand rock protest
Armstrong: Stop Trying to Make Temple Attacks About Race,0,armstrong stop try make temple attack race
Re: Liberals Claim Acquittal of Bundys is “Weaponized White Privilege”,0,liberals claim acquittal bundys weaponize white privilege
Q&A: key questions about EgyptAir flight MS804,1,key question egyptair flight ms804
BARBARIANS AT THE GATE: Muslims from Morocco keep breaking into Spain,0,barbarians gate muslims morocco keep break spain
"To grow the economy, grow small businesses: Bloomberg & Buffett",1,grow economy grow small businesses bloomberg buffett
"Hillary Clinton Hits Unfavorability High of 60%, Higher Than Trump",0,hillary clinton hit unfavorability high higher trump
Israel: Ancient Papyrus Proves Jerusalem Belongs to Israel,0,israel ancient papyrus prove jerusalem belong israel
Turkey expands anti-Islamic State campaign,1,turkey expand anti islamic state campaign
How the swing voter went extinct,1,swing voter extinct
American And Saudi Weapons Recoverd From ISIS Positions In Mosul,0,american saudi weapons recoverd isis position mosul
How come the US keeps killing ISIS No. 2s?,1,come keep kill isis
Loretta Lynch becomes first African-American woman AG.,1,loretta lynch become first african american woman
Complete the Sentence: an Exploration of Orin Langelle’s “If Voting Changed Things…”,0,complete sentence exploration orin langelle vote change things
"Clinton is close, but Sanders not ready to give up",1,clinton close sanders ready give
Picking Mike Pence Really Was A Grand Slam For Donald Trump,1,pick mike pence really grand slam donald trump
Republicans Very Troubled By Clinton Donors See No Conflict With Their Own Dark Money,1,republicans trouble clinton donors see conflict dark money
Comment on 7 Effective Ways To Balance Hormones Naturally by Eat Your Way to Balanced Hormones! - NeilMD.com,0,comment effective ways balance hormones naturally eat way balance hormones neilmd com
Insurers use California’s assisted-suicide law to deny treatment for terminal patients,0,insurers use california assist suicide law deny treatment terminal patients
Comment on “I’m the Law Today N**ga” — Cop Fired After Using Social Media to Declare Her Racism by Albert Wesker,0,comment law today cop fire use social media declare racism albert wesker
"Suicide Blast at Park Leaves More Than 50 Dead in Lahore, Pakistan",1,suicide blast park leave dead lahore pakistan
Uncollected Pallet Wondering What It Did Wrong,0,uncollected pallet wonder wrong
Starbucks ‘Unity’ Cup Draws Criticism - The Onion - America's Finest News Source,0,starbucks unity cup draw criticism onion america finest news source
Why Carly Fiorina is on a media blitz,1,carly fiorina media blitz
Top Democratic economists don't think much of Bernienomics. He doesn’t care.,1,top democratic economists think much bernienomics care
How To Repair Strained Or Broken Relationships,0,repair strain break relationships
#BREAKING: SECOND Assassination Attempt On Trump In NV; Suspect Detained (LIVE BLOG),0,break second assassination attempt trump suspect detain live blog
"If Congress rejects nuclear deal, would US be the pariah? (+video)",1,congress reject nuclear deal would pariah video
Crushed: Trump’s Hollywood Walk of Fame Star Smashed With Sledgehammer (VIDEO),0,crush trump hollywood walk fame star smash sledgehammer video
Trump Reboot? Business Mogul Vows to 'Jumpstart' US Economy,1,trump reboot business mogul vow jumpstart economy
Top Iranian nuke negotiator ordered to stop screaming at Kerry,1,top iranian nuke negotiator order stop scream kerry
Calm Envelopes Baltimore as Curfew Begins,1,calm envelop baltimore curfew begin
Protesters take to streets after Trump rally in California,1,protesters take streets trump rally california
"It’s Not Broken, So Let’s Break It–“California Set To Let Public Schools Teach Primarily In Spanish”",0,break let break california set let public school teach primarily spanish
America’s Streets Will Run With Blood- Mike Adams,0,america streets run blood mike adams
Trump’s campaign just got support from one of the Republican Party’s biggest donors,1,trump campaign get support one republican party biggest donors
Watch Hillary Clintons Concession Speech,0,watch hillary clinton concession speech
Obama to Try to Allay Gulf Nation Leaders' Fears about Iran,1,obama try allay gulf nation leaders fear iran
29 of Hillary's scandals: The early years,0,hillary scandals early years
Vote Vote Vote,0,vote vote vote
10 Last Minute Preps When A Disruptive Event Is Brewing,0,last minute preps disruptive event brew
"Barack Obama, President Oh-bummer",1,barack obama president bummer
High-fat Ketogenic Diet for Weight Loss,0,high fat ketogenic diet weight loss
Obama's Iran deal is now near certain to survive Congress,1,obama iran deal near certain survive congress
"Biden says Ukrainians 'have a right to defend themselves,' mum on US sending weapons",1,biden say ukrainians right defend mum send weapons
Obama Administration Smacks Down Enlistment Bonus Repayments After Republican Congress Does Nothing,0,obama administration smack enlistment bonus repayments republican congress nothing
"Police Violence Escalates As Provocateurs Infiltrate Standing Rock, #NoDAPL Protests",0,police violence escalate provocateurs infiltrate stand rock nodapl protest
TRUNEWS 10/26/16 Jeremy Wiles | Sing A Little Louder,0,trunews jeremy wiles sing little louder
John Boehner and the failure to live up to conservative principles,1,john boehner failure live conservative principles
Trump Bollywood Ad Meant To Sway Indian American Voters Is An Hilarious Fail (VIDEO),0,trump bollywood mean sway indian american voters hilarious fail video
Tory Councillor Say Homeless People Should Be ‘Eliminated’,0,tory councillor say homeless people eliminate
Comment on Cop’s Attempt to Abuse His Authority During Fit of Road Rage is Shutdown by Informed Citizen by Jynxster,0,comment cop attempt abuse authority fit road rage shutdown inform citizen jynxster
Republicans face challenge in holding on to Senate majority in 2016,1,republicans face challenge hold senate majority 2016
5 Reasons Cruz Announced His Candidacy Early,1,reason cruz announce candidacy early
“Beware of the Shadow Government”: Ron Paul Advises President-Elect,0,beware shadow government ron paul advise president elect
The GOP farce plods along: Why last night’s interminable debate was an affront to the party’s patron saint,1,gop farce plod along last night interminable debate affront party patron saint
